epoch,train_loss,val_loss,val_rmse,val_mae,lr
1,1.0797734657923381,0.9783863723278046,0.9852659106254578,0.7837691307067871,0.0009972609476841367
2,1.0724354982376099,1.0775578618049622,1.029143214225769,0.8213344812393188,0.0009890738003669028
3,1.0478460391362507,0.9890346229076385,0.9922527074813843,0.7890408039093018,0.0009755282581475768
4,1.03532075881958,0.9800653755664825,0.9867032766342163,0.7847673892974854,0.0009567727288213003
5,1.0167183081309001,0.9995233416557312,0.9934877753257751,0.7911986112594604,0.0009330127018922195
6,1.0192124843597412,0.9787833988666534,0.985729455947876,0.7840652465820312,0.0009045084971874739
7,1.0161250829696655,0.9789533615112305,0.9850388765335083,0.7837220430374146,0.0008715724127386972
8,1.013621727625529,0.9833005368709564,0.9865003228187561,0.7851148843765259,0.0008345653031794292
9,1.0139888127644856,0.97834312915802,0.9852495193481445,0.7837544083595276,0.0007938926261462366
10,1.0131832758585613,0.9793461859226227,0.9851263165473938,0.7838174700737,0.00075
11,1.0129417181015015,0.9798973500728607,0.9852762222290039,0.7839650511741638,0.0007033683215379003
12,1.010761300722758,0.9784356653690338,0.9850183725357056,0.783652663230896,0.0006545084971874739
13,1.0136172374089558,0.9787966310977936,0.985015869140625,0.7836945056915283,0.0006039558454088797
14,1.0127839247385662,0.982038289308548,0.9860013127326965,0.7846565246582031,0.0005522642316338269
15,1.0127051671346028,0.9788052141666412,0.9850171804428101,0.7836961150169373,0.0005000000000000002
16,1.0104174216588337,0.978376179933548,0.9850501418113708,0.7836609482765198,0.0004477357683661734
17,1.0129274129867554,0.9795351922512054,0.985170304775238,0.7838632464408875,0.00039604415459112036
